Recommended taxon name,Recommended taxon version,Reporting category,Designation,Designation abbreviation
Ajuga pyramidalis,NBNSYS0000004271,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Ajuga pyramidalis,NBNSYS0000004271,Biodiversity Lists - England,England NERC S.41,England_NERC_S.41
Ajuga pyramidalis,NBNSYS0000004271,Red listing based on 2001 IUCN guidelines,Critically Endangered,RedList_ENG_post2001-CR
Ajuga pyramidalis,NBNSYS0000004271,Biodiversity Action Plan UK list of priority species,Priority Species,BAP-2007
Ajuga reptans,NBNSYS0000004269,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Ajuga reptans,NBNSYS0000004269,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Ajuga reptans x pyramidalis = A. x pseudopyramidalis,NHMSYS0001754602,Rare and scarce species (not based on IUCN criteria),Nationally Rare. Excludes Red Listed taxa,NR-excludes
Ajuga reptans x pyramidalis = A. x pseudopyramidalis,NHMSYS0001754602,Red listing based on 2001 IUCN guidelines,Vulnerable,RedList_GB_post2001-VU
Alchemilla acutiloba,NBNSYS0000003378,Rare and scarce species (not based on IUCN criteria),Nationally Rare. Excludes Red Listed taxa,NR-excludes
Alchemilla acutiloba,NBNSYS0000003378,Red listing based on 2001 IUCN guidelines,Vulnerable,RedList_GB_post2001-VU
Alchemilla acutiloba,NBNSYS0000003378,Biodiversity Lists - England,England NERC S.41,England_NERC_S.41
Alchemilla acutiloba,NBNSYS0000003378,Red listing based on 2001 IUCN guidelines,Vulnerable,RedList_ENG_post2001-VU
Alchemilla acutiloba,NBNSYS0000003378,Biodiversity Action Plan UK list of priority species,Priority Species,BAP-2007
Alchemilla alpina,NBNSYS0000003369,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Alchemilla alpina,NBNSYS0000003369,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Alchemilla filicaulis,NBNSYS0000034246,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Alchemilla filicaulis subsp. filicaulis,NHMSYS0000455724,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Alchemilla filicaulis subsp. filicaulis,NHMSYS0000455724,Red listing based on 2001 IUCN guidelines,Data Deficient,RedList_ENG_post2001-DD
Alchemilla filicaulis subsp. vestita,NHMSYS0000455725,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Alchemilla filicaulis subsp. vestita,NHMSYS0000455725,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Alchemilla glabra,NHMSYS0000455726,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Alchemilla glabra,NHMSYS0000455726,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Alchemilla glaucescens,NBNSYS0000003372,Rare and scarce species (not based on IUCN criteria),Nationally Scarce. Excludes Red Listed taxa,NS-excludes
Alchemilla glaucescens,NBNSYS0000003372,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Alchemilla glaucescens,NBNSYS0000003372,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Alchemilla glaucescens,NBNSYS0000003372,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Alchemilla glomerulans,NBNSYS0000003380,Rare and scarce species (not based on IUCN criteria),Nationally Scarce. Excludes Red Listed taxa,NS-excludes
Alchemilla glomerulans,NBNSYS0000003380,Red listing based on 2001 IUCN guidelines,Vulnerable,RedList_GB_post2001-VU
Alchemilla glomerulans,NBNSYS0000003380,Red listing based on 2001 IUCN guidelines,Endangered,RedList_ENG_post2001-EN
Alchemilla micans,NBNSYS0100001449,Rare and scarce species (not based on IUCN criteria),Nationally Rare. Excludes Red Listed taxa,NR-excludes
Alchemilla micans,NBNSYS0100001449,Red listing based on 2001 IUCN guidelines,Endangered,RedList_GB_post2001-EN
Alchemilla micans,NBNSYS0100001449,Biodiversity Lists - England,England NERC S.41,England_NERC_S.41
Alchemilla micans,NBNSYS0100001449,Red listing based on 2001 IUCN guidelines,Endangered,RedList_ENG_post2001-EN
Alchemilla micans,NBNSYS0100001449,Biodiversity Action Plan UK list of priority species,Priority Species,BAP-2007
Alchemilla minima,NBNSYS0000003376,Biodiversity Lists - England,England NERC S.41,England_NERC_S.41
Alchemilla minima,NBNSYS0000003376,Biodiversity Action Plan UK list of priority species,Priority Species,BAP-2007
Alchemilla monticola,NBNSYS0000003377,Rare and scarce species (not based on IUCN criteria),Nationally Rare. Excludes Red Listed taxa,NR-excludes
Alchemilla monticola,NBNSYS0000003377,Red listing based on 2001 IUCN guidelines,Endangered,RedList_GB_post2001-EN
Alchemilla monticola,NBNSYS0000003377,Biodiversity Lists - England,England NERC S.41,England_NERC_S.41
Alchemilla monticola,NBNSYS0000003377,Red listing based on 2001 IUCN guidelines,Endangered,RedList_ENG_post2001-EN
Alchemilla monticola,NBNSYS0000003377,Biodiversity Action Plan UK list of priority species,Priority Species,BAP-2007
Alchemilla subcrenata,NBNSYS0000003375,Rare and scarce species (not based on IUCN criteria),Nationally Rare. Excludes Red Listed taxa,NR-excludes
Alchemilla subcrenata,NBNSYS0000003375,Red listing based on 2001 IUCN guidelines,Endangered,RedList_GB_post2001-EN
Alchemilla subcrenata,NBNSYS0000003375,Biodiversity Lists - England,England NERC S.41,England_NERC_S.41
Alchemilla subcrenata,NBNSYS0000003375,Red listing based on 2001 IUCN guidelines,Endangered,RedList_ENG_post2001-EN
Alchemilla subcrenata,NBNSYS0000003375,Biodiversity Action Plan UK list of priority species,Priority Species,BAP-2007
Alchemilla wichurae,NHMSYS0000455738,Rare and scarce species (not based on IUCN criteria),Nationally Scarce. Excludes Red Listed taxa,NS-excludes
Alchemilla wichurae,NHMSYS0000455738,Red listing based on 2001 IUCN guidelines,Endangered,RedList_GB_post2001-EN
Alchemilla wichurae,NHMSYS0000455738,Red listing based on 2001 IUCN guidelines,Vulnerable,RedList_ENG_post2001-VU
Alchemilla xanthochlora,NBNSYS0000003379,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Alchemilla xanthochlora,NBNSYS0000003379,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Alisma gramineum,NBNSYS0000002103,Wildlife and Countryside Act 1981,Schedule 8,WACA-Sch8
Alisma gramineum,NBNSYS0000002103,Rare and scarce species (not based on IUCN criteria),Nationally Rare. Excludes Red Listed taxa,NR-excludes
Alisma gramineum,NBNSYS0000002103,Red listing based on 2001 IUCN guidelines,Critically Endangered,RedList_GB_post2001-CR
Alisma gramineum,NBNSYS0000002103,Biodiversity Lists - England,England NERC S.41,England_NERC_S.41
Alisma gramineum,NBNSYS0000002103,Red listing based on 2001 IUCN guidelines,Critically Endangered,RedList_ENG_post2001-CR
Alisma gramineum,NBNSYS0000002103,Biodiversity Action Plan UK list of priority species,Priority Species,BAP-2007
Alisma lanceolatum,NBNSYS0000002102,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Alisma lanceolatum,NBNSYS0000002102,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Alisma plantago-aquatica,NBNSYS0000002101,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Alisma plantago-aquatica,NBNSYS0000002101,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Alliaria petiolata,NHMSYS0000455754,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Alliaria petiolata,NHMSYS0000455754,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Allium ampeloprasum,NBNSYS0000034220,Rare and scarce species (not based on IUCN criteria),Nationally Scarce. Excludes Red Listed taxa,NS-excludes
Allium ampeloprasum,NBNSYS0000034220,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
Allium ampeloprasum,NBNSYS0000034220,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Allium oleraceum,NBNSYS0000002197,Red listing based on 2001 IUCN guidelines,Vulnerable,RedList_GB_post2001-VU
Allium oleraceum,NBNSYS0000002197,Red listing based on 2001 IUCN guidelines,Least concern,RedList_ENG_post2001-LC
Allium oleraceum,NBNSYS0000002197,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Allium schoenoprasum,NBNSYS0000002199,Rare and scarce species (not based on IUCN criteria),Nationally Scarce. Excludes Red Listed taxa,NS-excludes
Allium schoenoprasum,NBNSYS0000002199,Red listing based on 2001 IUCN guidelines,Least concern,RedList_GB_post2001-LC
